Sinapis arvensis
Sisymbrella aspera
Sisymbrium austriacum
Sisymbrium irio
Sisymbrium officinale
Sisymbrium orientale
Smilax aspera
Smyrnium olusatrum
Smyrnium perfoliatum
Solanum chenopodioides
Solanum dulcamara
Solanum nigrum
Solanum villosum
Solidago virgaurea
Soliva sessilis
Sonchus asper
Sonchus oleraceus
Sonchus tenerrimus
Sparganium angustifolium
Sparganium emersum
Sparganium erectum
Spergula arvensis
Spergula morisonii
Spergularia marina
Spergularia media
Spergularia purpurea
Spergularia rubra
Spergularia rupicola
Spiranthes aestivalis
Spiranthes spiralis
Spirodela polyrhiza
Stachys arvensis
Stachys germanica
Stachys ocymastrum
Stachys palustris
Stachys sylvatica
Stellaria alsine
Stellaria graminea
Stellaria media
Stellaria neglecta
Stipa gigantea
Stipa tenacissima
Succisa pratensis
Taeniatherum caput-medusae
Tanacetum corymbosum
Tanacetum parthenium
Tanacetum vulgare
Taraxacum obovatum
Teesdalia coronopifolia
Teesdalia nudicaulis
Tetragonia tetragonoides
Teucrium capitatum
Teucrium chamaedrys
Teucrium pseudochamaepitys
Teucrium scordium
Teucrium scorodonia
Thalictrum minus
Thalictrum speciosissimum
Thapsia minor
Thapsia villosa
Theligonum cynocrambe
Thelypteris palustris
Thesium humifusum
Thesium pyrenaicum
Thymelaea passerina
Tolpis umbellata
Tordylium apulum
Tordylium maximum
Torilis arvensis
Torilis japonica
Torilis nodosa
Tradescantia fluminensis
Tragopogon crocifolius
Tragopogon dubius
Tragopogon hybridus
Tragopogon porrifolius
Tribulus terrestris
Trichophorum cespitosum
Trifolium alexandrinum
Trifolium angustifolium
Trifolium arvense
Trifolium campestre
Trifolium cherleri
Trifolium dubium
Trifolium fragiferum
Trifolium glomeratum
Trifolium hirtum
Trifolium incarnatum
Trifolium lappaceum
Trifolium medium
Trifolium micranthum
Trifolium nigrescens
Trifolium ochroleucon
Trifolium ornithopodioides
Trifolium pratense
Trifolium repens
Trifolium resupinatum
Trifolium scabrum
Trifolium stellatum
Trifolium striatum
Trifolium subterraneum
Trifolium suffocatum
Trifolium tomentosum
Trifolium vesiculosum
Tripodion tetraphyllum
Tropaeolum majus
Tuberaria globulariifolia
Tuberaria guttata
Tuberaria lignosa
Tulipa sylvestris
Turgenia latifolia
Typha angustifolia
Typha domingensis
Typha latifolia
Umbilicus rupestris
Urospermum picroides
Urtica dioica
Urtica membranacea
Urtica pilulifera
Urtica urens
Utricularia australis
Valantia hispida
Valantia muralis
Valeriana dioica
Valeriana montana
Valeriana officinalis
Valeriana tuberosa
Valerianella coronata
Valerianella discoidea
Valerianella echinata
Valerianella locusta
Vallisneria spiralis
Velezia rigida
Veratrum album
Verbascum giganteum
Verbascum pulverulentum
Verbascum sinuatum
Verbascum thapsus
Verbascum virgatum
Verbena bonariensis
Verbena officinalis
Verbena rigida
Veronica acinifolia
Veronica agrestis
Veronica anagallis-aquatica
Veronica anagalloides
Veronica arvensis
Veronica beccabunga
Veronica chamaedrys
Veronica cymbalaria
Veronica hederifolia
Veronica montana
Veronica nevadensis
Veronica officinalis
Veronica peregrina
Veronica persica
Veronica polita
Veronica scutellata
Veronica serpyllifolia
Veronica triphyllos
Veronica verna
Vicia benghalensis
Vicia bithynica
Vicia disperma
Vicia hirsuta
Vicia lathyroides
Vicia lutea
Vicia onobrychioides
Vicia parviflora
Vicia peregrina
Vicia pubescens
Vicia sativa
Vicia sepium
Vicia tenuifolia
Vicia villosa
Vinca difformis
Vinca major
Vinca minor
Vincetoxicum hirundinaria
Vincetoxicum nigrum
Viola arvensis
Viola bubanii
Viola canina
Viola hirta
Viola kitaibeliana
Viola lactea
Viola odorata
Viola palustris
Viola riviniana
Viola suavis
Vulpia bromoides
Vulpia ciliata
Vulpia membranacea
Vulpia myuros
Wolffia arrhiza
Woodwardia radicans
Xanthium spinosum
Xanthium strumarium
Xeranthemum cylindraceum
Xeranthemum inapertum
Zannichellia palustris
Zantedeschia aethiopica
Zostera marina
Zostera noltii
